trigger_team,2up_triggered,comeback_occurred
Burnley,False,False
Man City,True,False
Arsenal,False,False
Nott'm Forest,False,False
Bournemouth,False,False
West Ham,False,False
Brighton,True,False
Luton,False,False
Everton,False,False
Fulham,False,False
Sheffield United,False,False
Crystal Palace,False,False
Newcastle,True,False
Aston Villa,False,False
Brentford,False,False
Tottenham,False,False
Chelsea,False,False
Liverpool,False,False
Man United,False,False
Wolves,False,False
Nott'm Forest,False,False
Sheffield United,False,False
Fulham,False,False
Brentford,True,False
Liverpool,True,False
Bournemouth,False,False
Wolves,False,False
Brighton,True,False
Tottenham,True,False
Man United,False,False
Man City,False,False
Newcastle,False,False
Aston Villa,True,False
Everton,False,False
West Ham,True,False
Chelsea,False,False
Crystal Palace,False,False
Arsenal,False,False
Chelsea,True,False
Luton,False,False
Bournemouth,False,False
Tottenham,True,False
Arsenal,False,False
Fulham,False,False
Brentford,False,False
Crystal Palace,False,False
Everton,False,False
Wolves,False,False
Man United,False,False
Nott'm Forest,False,False
Brighton,False,False
West Ham,True,False
Burnley,False,False
Aston Villa,True,False
Sheffield United,False,False
Man City,False,False
Newcastle,False,False
Liverpool,False,False
Luton,False,False
West Ham,False,False
Sheffield United,False,False
Everton,False,False
Brentford,False,False
Bournemouth,False,False
Burnley,False,False
Tottenham,True,False
Chelsea,False,False
Nott'm Forest,False,False
Man City,True,False
Fulham,False,False
Brighton,True,False
Newcastle,False,False
Crystal Palace,False,False
Wolves,False,False
Liverpool,True,False
Aston Villa,False,False
Arsenal,True,False
Man United,False,False
Wolves,False,False
Liverpool,True,False
Aston Villa,True,False
Crystal Palace,False,False
Fulham,False,False
Luton,False,False
Man United,False,False
Brighton,True,False
Tottenham,False,False
Sheffield United,False,False
West Ham,False,False
Man City,True,False
Newcastle,False,False
Brentford,False,False
Bournemouth,False,False
Chelsea,False,False
Everton,False,False
Arsenal,False,False
Nott'm Forest,False,False
Burnley,False,False
Crystal Palace,False,False
Fulham,False,False
Luton,False,False
Wolves,False,False
Man City,True,False
Nott'm Forest,False,False
Brentford,False,False
Everton,True,False
Burnley,False,False
Man United,False,False
Arsenal,False,False
Tottenham,False,False
Brighton,True,False
Bournemouth,False,False
Chelsea,False,False
Aston Villa,False,False
Liverpool,True,False
West Ham,False,False
Sheffield United,False,False
Newcastle,True,False
Aston Villa,True,False
Brighton,False,False
Bournemouth,False,False
Arsenal,True,False
Everton,False,False
Luton,False,False
Man United,False,False
Crystal Palace,False,False
Newcastle,True,False
Burnley,False,False
West Ham,True,False
Sheffield United,False,False
Wolves,False,False
Man City,False,False
Tottenham,False,False
Liverpool,False,False
Nott'm Forest,False,False
Brentford,False,False
Fulham,False,False
Chelsea,True,False
Luton,False,False
Burnley,False,False
Luton,False,False
Tottenham,False,False
Burnley,False,False
Chelsea,True,False
Everton,True,False
Bournemouth,False,False
Fulham,True,False
Sheffield United,False,False
Man United,False,False
Brentford,False,False
Crystal Palace,False,False
Nott'm Forest,False,False
Brighton,False,False
Liverpool,False,False
West Ham,False,False
Newcastle,False,False
Wolves,False,False
Aston Villa,False,False
Arsenal,False,False
Man City,False,False
Liverpool,True,False
Everton,False,False
Bournemouth,False,False
Wolves,False,False
Brentford,True,False
Burnley,False,False
Man City,False,False
Brighton,False,False
Newcastle,True,False
Crystal Palace,False,False
Nott'm Forest,False,False
Luton,False,False
Chelsea,False,False
Arsenal,False,False
Sheffield United,False,False
Man United,False,False
Aston Villa,True,False
West Ham,False,False
Tottenham,True,False
Fulham,False,False
Crystal Palace,False,False
Tottenham,False,False
Chelsea,False,False
Brentford,True,False
Arsenal,True,False
Sheffield United,False,False
Bournemouth,False,False
Burnley,False,False
Wolves,False,False
Newcastle,False,False
West Ham,False,False
Everton,False,False
Aston Villa,True,False
Luton,False,False
Brighton,False,False
Fulham,False,False
Liverpool,True,False
Nott'm Forest,False,False
Man United,False,False
Man City,True,False
Fulham,False,False
Man United,False,False
Brentford,False,False
West Ham,False,False
Burnley,False,False
Crystal Palace,True,False
Everton,False,False
Brighton,False,False
Man City,True,False
Bournemouth,False,False
Sheffield United,False,False
Wolves,False,False
Newcastle,False,False
Arsenal,False,False
Nott'm Forest,True,False
Aston Villa,False,False
Luton,False,False
Liverpool,False,False
Tottenham,False,False
Chelsea,True,False
Wolves,False,False
Tottenham,False,False
Arsenal,True,False
Burnley,False,False
Crystal Palace,False,False
Everton,False,False
Man United,False,False
Luton,False,False
Bournemouth,True,False
Newcastle,False,False
Aston Villa,True,False
Fulham,False,False
Brighton,False,False
Sheffield United,False,False
Liverpool,True,False
Brentford,False,False
West Ham,False,False
Nott'm Forest,False,False
Chelsea,False,False
Man City,False,False
Man City,False,False
Liverpool,False,False
Burnley,False,False
West Ham,False,False
Luton,False,False
Crystal Palace,False,False
Newcastle,True,False
Chelsea,False,False
Nott'm Forest,False,False
Brighton,False,False
Sheffield United,False,False
Bournemouth,True,False
Brentford,False,False
Arsenal,False,False
Tottenham,False,False
Aston Villa,False,False
Everton,False,False
Man United,True,False
Fulham,False,False
Wolves,False,False
Arsenal,False,False
Wolves,False,False
Brentford,True,False
Luton,False,False
Burnley,True,False
Sheffield United,False,False
Nott'm Forest,False,False
Everton,False,False
Newcastle,False,False
Man United,False,False
Bournemouth,False,False
Aston Villa,False,False
Chelsea,False,False
Brighton,False,False
Liverpool,False,False
Fulham,False,False
West Ham,False,False
Crystal Palace,False,False
Man City,False,False
Tottenham,False,False
Wolves,False,False
Burnley,False,False
Luton,False,False
Arsenal,False,False
Brighton,False,False
Brentford,False,False
Crystal Palace,False,False
Bournemouth,True,False
Fulham,True,False
Nott'm Forest,False,False
Sheffield United,False,False
Liverpool,True,False
Aston Villa,False,False
Man City,False,False
Man United,False,False
Chelsea,False,False
Everton,True,False
Newcastle,False,False
Tottenham,False,False
West Ham,False,False
Crystal Palace,False,False
Liverpool,False,False
Brighton,False,False
Burnley,False,False
Man United,False,False
Bournemouth,True,False
Sheffield United,False,False
Brentford,False,False
Wolves,False,False
Nott'm Forest,False,False
Aston Villa,False,False
Arsenal,False,False
Everton,True,False
Chelsea,False,False
Fulham,True,False
West Ham,False,False
Luton,False,False
Man City,False,False
Tottenham,True,False
Newcastle,False,False
Nott'm Forest,False,False
Tottenham,True,False
Chelsea,True,False
Sheffield United,False,False
Man City,False,False
Crystal Palace,False,False
Newcastle,True,False
Fulham,False,False
Burnley,False,False
Everton,True,False
Arsenal,True,False
Brighton,False,False
Brentford,False,False
Aston Villa,False,False
West Ham,True,False
Wolves,False,False
Liverpool,False,False
Man United,False,False
Crystal Palace,False,False
Brighton,False,False
Aston Villa,False,False
Sheffield United,False,False
West Ham,True,False
Man United,False,False
Fulham,False,False
Burnley,True,False
Luton,False,False
Newcastle,False,False
Nott'm Forest,False,False
Bournemouth,False,False
Tottenham,False,False
Everton,False,False
Liverpool,False,False
Arsenal,False,False
Wolves,False,False
Chelsea,False,False
Newcastle,False,False
Nott'm Forest,True,False
Bournemouth,True,False
Fulham,False,False
Sheffield United,False,False
Luton,False,False
Burnley,False,False
Liverpool,True,False
Man United,False,False
Aston Villa,False,False
Brentford,False,False
Wolves,True,False
Chelsea,False,False
Crystal Palace,False,False
Everton,False,False
Man City,True,False
Brighton,True,False
Tottenham,False,False
Arsenal,False,False
West Ham,True,False
Luton,False,False
Chelsea,False,False
Aston Villa,False,False
Burnley,False,False
Crystal Palace,True,False
Brentford,False,False
Man City,True,False
Sheffield United,False,False
Wolves,True,False
Everton,False,False
Nott'm Forest,False,False
Man United,False,False
Fulham,False,False
Arsenal,False,False
Tottenham,True,False
Bournemouth,False,False
Liverpool,True,False
Newcastle,False,False
West Ham,False,False
Brighton,False,False
Burnley,False,False
Luton,False,False
Chelsea,False,False
Fulham,False,False
Newcastle,False,False
Man City,False,False
Everton,False,False
Aston Villa,False,False
Man United,False,False
Tottenham,False,False
Arsenal,True,False
Crystal Palace,False,False
Brentford,False,False
Nott'm Forest,False,False
Sheffield United,False,False
West Ham,False,False
Bournemouth,False,False
Liverpool,True,False
Brighton,False,False
Wolves,False,False
Nott'm Forest,False,False
Arsenal,False,False
Fulham,False,False
Everton,False,False
Luton,True,False
Brighton,False,False
Crystal Palace,False,False
Sheffield United,False,False
Aston Villa,False,False
Newcastle,True,False
Man City,True,False
Burnley,False,False
Tottenham,False,False
Brentford,False,False
Liverpool,True,False
Chelsea,False,False
West Ham,False,False
Bournemouth,False,False
Wolves,False,False
Man United,False,False
Everton,False,False
Tottenham,False,False
Brighton,True,False
Crystal Palace,False,False
Burnley,False,False
Fulham,False,False
Newcastle,False,False
Luton,False,False
Sheffield United,False,False
Aston Villa,True,False
Bournemouth,False,False
Nott'm Forest,False,False
Chelsea,False,False
Wolves,True,False
Man United,True,False
West Ham,False,False
Arsenal,True,False
Liverpool,False,False
Brentford,False,False
Man City,True,False
Man City,True,False
Everton,False,False
Fulham,True,False
Bournemouth,False,False
Liverpool,True,False
Burnley,False,False
Luton,False,False
Sheffield United,True,False
Tottenham,False,False
Brighton,False,False
Wolves,False,False
Brentford,True,False
Nott'm Forest,False,False
Newcastle,False,False
West Ham,False,False
Arsenal,True,False
Aston Villa,False,False
Man United,False,False
Crystal Palace,False,False
Chelsea,True,False
Brentford,False,False
Liverpool,True,False
Burnley,False,False
Arsenal,True,False
Fulham,False,False
Aston Villa,False,False
Newcastle,False,False
Bournemouth,False,False
Nott'm Forest,True,False
West Ham,False,False
Tottenham,False,False
Wolves,False,False
Man City,False,False
Chelsea,False,False
Sheffield United,False,False
Brighton,True,False
Luton,False,False
Man United,False,False
Everton,False,False
Crystal Palace,False,False
Man City,False,False
Brentford,False,False
Liverpool,True,False
Luton,False,False
Aston Villa,True,False
Nott'm Forest,False,False
Brighton,False,False
Everton,False,False
Crystal Palace,True,False
Burnley,False,False
Man United,False,False
Fulham,False,False
Bournemouth,False,False
Man City,False,False
Arsenal,True,False
Newcastle,False,False
Wolves,False,False
Sheffield United,False,False
West Ham,True,False
Brentford,False,False
Brentford,False,False
Chelsea,False,False
Everton,False,False
West Ham,True,False
Fulham,True,False
Brighton,False,False
Newcastle,True,False
Wolves,False,False
Nott'm Forest,False,False
Liverpool,False,False
Tottenham,True,False
Crystal Palace,False,False
Luton,False,False
Aston Villa,False,False
Burnley,False,False
Bournemouth,True,False
Man City,True,False
Man United,False,False
Sheffield United,False,False
Arsenal,True,False
Man United,True,False
Everton,False,False
Bournemouth,False,False
Sheffield United,False,False
Crystal Palace,False,False
Luton,False,False
Wolves,False,False
Fulham,False,False
Arsenal,False,False
Brentford,False,False
Aston Villa,False,False
Tottenham,True,False
Brighton,False,False
Nott'm Forest,False,False
West Ham,False,False
Burnley,False,False
Liverpool,False,False
Man City,False,False
Chelsea,False,False
Newcastle,False,False
Bournemouth,False,False
Luton,False,False
Burnley,False,False
Brentford,False,False
Luton,False,False
Nott'm Forest,False,False
Fulham,True,False
